[07/Jul/2024:18:33:14 +0000] - 304 304 - GET http localhost "/" [Client 172.28.0.1] [Length 0] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[07/Jul/2024:18:33:14 +0000] - 200 200 - GET http localhost "/assets/index-ekkmih7m.js" [Client 172.28.0.1] [Length 244581] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[07/Jul/2024:18:33:14 +0000] - 200 200 - GET http localhost "/assets/images/fastapi-logo.svg" [Client 172.28.0.1] [Length 2550] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:33:14 +0000] - 200 200 - GET http localhost "/assets/images/favicon.png" [Client 172.28.0.1] [Length 5043] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:33:14 +0000] - 200 200 - GET http localhost "/vite.svg" [Client 172.28.0.1] [Length 320] [Gzip 1.55] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:33:16 +0000] - 502 502 - POST http localhost "/api/v1/login/access-token" [Client 172.28.0.1] [Length 556] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:35:10 +0000] - 502 502 - GET http localhost "/api" [Client 172.28.0.1] [Length 556] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[07/Jul/2024:18:36:36 +0000] - 502 502 - GET http localhost "/api" [Client 172.28.0.1] [Length 556] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[07/Jul/2024:18:45:45 +0000] - 200 200 - GET http localhost "/login" [Client 172.28.0.1] [Length 320] [Gzip 1.55] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[07/Jul/2024:18:45:45 +0000] - 304 304 - GET http localhost "/assets/index-ekkmih7m.js" [Client 172.28.0.1] [Length 0] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:45:45 +0000] - 304 304 - GET http localhost "/assets/images/fastapi-logo.svg" [Client 172.28.0.1] [Length 0] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:45:46 +0000] - 304 304 - GET http localhost "/assets/images/favicon.png" [Client 172.28.0.1] [Length 0] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:45:46 +0000] - 304 304 - GET http localhost "/vite.svg" [Client 172.28.0.1] [Length 0] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:45:51 +0000] - 502 502 - POST http localhost "/api/v1/login/access-token" [Client 172.28.0.1] [Length 556] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:47:11 +0000] - 502 502 - POST http localhost "/api/v1/login/access-token" [Client 172.28.0.1] [Length 556] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:18:52:21 +0000] - 502 502 - POST http localhost "/api/v1/login/access-token" [Client 172.28.0.1] [Length 556] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:19:00:34 +0000] - 304 304 - GET http localhost "/login" [Client 172.29.0.1] [Length 0] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[07/Jul/2024:19:00:34 +0000] - 304 304 - GET http localhost "/assets/index-ekkmih7m.js" [Client 172.29.0.1] [Length 0] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
[07/Jul/2024:19:00:34 +0000] - 304 304 - GET http localhost "/assets/images/fastapi-logo.svg" [Client 172.29.0.1] [Length 0] [Gzip -] [Sent-to ] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/login"
